date,gdp_billions,gdp_growth_yoy,unemployment_rate,inflation_yoy
1975-01-01,1616.116,8.376223587706356,8.266666666666666,11.134601832276259
1975-04-01,1651.853,7.960296878022777,8.866666666666667,9.540150995195606
1975-07-01,1709.82,9.602019453521926,8.466666666666667,8.67823765020026
1975-10-01,1761.831,10.136533642061929,8.299999999999999,7.383419689119175
1976-01-01,1820.487,12.645812553059322,7.733333333333333,6.3411540900443875
1976-04-01,1852.332,12.136612640471034,7.566666666666666,6.015037593984962
1976-07-01,1886.558,10.336643623305374,7.733333333333333,5.58968058968059
1976-10-01,1934.273,9.787658407645239,7.766666666666667,5.1869722557297715
1977-01-01,1988.648,9.237143687375958,7.5,5.903398926654746
1977-04-01,2055.909,10.990308432829533,7.133333333333333,6.79669030732859
1977-07-01,2118.473,12.293022530979702,6.8999999999999995,6.573589296102367
1977-10-01,2164.27,11.890617301694228,6.666666666666667,6.594036697247718
1978-01-01,2202.76,10.76671185649749,6.333333333333333,6.475225225225234
1978-04-01,2331.633,13.41129398236982,6.0,7.028223574986181
1978-07-01,2395.053,13.055630163801935,6.033333333333334,8.024017467248923
1978-10-01,2476.949,14.447319419480941,5.8999999999999995,8.929532006455076
1979-01-01,2526.61,14.702010205378691,5.866666666666667,9.783183500793236
1979-04-01,2591.247,11.134428102535864,5.7,10.754912099276105
1979-07-01,2667.565,11.378119816137676,5.866666666666667,11.723092470944918
1979-10-01,2723.883,9.969280756285247,5.966666666666666,12.641975308641996
1980-01-01,2789.842,10.418386692049818,6.3,14.210019267822727
1980-04-01,2797.352,7.953892469533019,7.333333333333333,14.425770308123266
1980-07-01,2856.483,7.082039238031701,7.666666666666667,12.935323383084585
1980-10-01,2985.557,9.606653442897507,7.3999999999999995,12.538360368259504
1981-01-01,3124.206,11.98505148320228,7.433333333333334,11.261071277941802
1981-04-01,3162.532,13.054488673574172,7.3999999999999995,9.873521011831897
1981-07-01,3260.609,14.147677406096925,7.3999999999999995,10.85302362835403
1981-10-01,3280.818,9.889645382754386,8.233333333333334,9.58317101675108
1982-01-01,3274.302,4.804292674682786,8.833333333333334,7.581501137225177
